age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country
28,Private,181099,10th,9,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Female,0,0,21,United-States
36,,75742,11th,13,Never-married,Sales,Not-in-family,Black,Female,0,0,49,United-States
56,Private,291569,HS-grad,6,Never-married,Other-service,Own-child,White,Male,0,0,27,United-States
26,Private,364548,Some-college,13,Divorced,Adm-clerical,Husband,Asian-Pac-Islander,Male,0,0,24,United-States
51,Private,160120,HS-grad,13,Married-spouse-absent,Sales,Husband,White,Male,0,0,52,United-States
60,Private,174714,HS-grad,9,Never-married,Other-service,Husband,White,Female,99999,0,31,United-States
21,Private,43272,Assoc-acdm,10,Divorced,Adm-clerical,Husband,Black,Female,0,0,38,United-States
70,Private,193285,Assoc-acdm,5,Never-married,Prof-specialty,Other-relative,White,Female,0,0,35,United-States
43,Private,98586,Some-college,9,Never-married,,Husband,White,Female,0,0,18,United-States
40,Private,114158,HS-grad,13,Never-married,Tech-support,Husband,White,Female,0,0,39,United-States
43,Private,148903,HS-grad,10,Married-civ-spouse,Prof-specialty,Other-relative,Asian-Pac-Islander,Male,0,0,33,United-States
51,Federal-gov,206046,11th,10,Never-married,Exec-managerial,Unmarried,White,Female,0,0,70,
39,Private,218311,HS-grad,13,Married-civ-spouse,Other-service,Own-child,White,Male,0,0,47,Mexico
45,Private,171467,Some-college,13,Never-married,Craft-repair,Husband,White,Male,0,1902,26,United-States
66,,342907,Some-college,11,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,8,India
40,,110457,Bachelors,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,57,United-States
49,Private,98586,Some-college,15,Never-married,Sales,Husband,Black,Male,0,0,38,United-States
13,Private,49278,Bachelors,8,Married-civ-spouse,Transport-moving,Unmarried,White,Male,0,0,34,United-States
31,,110145,HS-grad,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,57,Italy
60,Private,51100,Bachelors,10,Widowed,Exec-managerial,Not-in-family,White,Male,0,0,41,United-States
34,Private,234083,Some-college,9,Married-civ-spouse,Sales,Own-child,White,Male,15024,0,24,United-States
42,,138852,Some-college,13,Married-civ-spouse,Exec-managerial,Unmarried,White,Female,0,0,25,United-States
39,,136363,11th,7,Never-married,Other-service,Not-in-family,White,Female,0,0,53,Philippines
43,Private,43646,Bachelors,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,0,36,United-States
59,Private,243636,11th,9,Never-married,Exec-managerial,Own-child,Black,Female,0,0,14,United-States
39,Private,160086,Assoc-voc,9,Never-married,Farming-fishing,Husband,White,Male,0,0,49,United-States
51,Private,129845,HS-grad,7,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,0,0,50,United-States
42,Private,92717,5th-6th,9,Married-civ-spouse,Adm-clerical,Husband,White,Female,3103,0,51,South
32,,213720,Some-college,12,Separated,Prof-specialty,Husband,White,Male,0,0,49,United-States
36,,251603,Some-college,15,Divorced,Adm-clerical,Husband,White,Male,9386,0,25,United-States
37,Private,131852,HS-grad,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,46,United-States
50,Private,213140,HS-grad,13,Widowed,Exec-managerial,Husband,White,Male,0,0,51,United-States
26,Local-gov,104164,HS-grad,9,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,32,United-States
53,Self-emp-inc,133973,Some-college,10,Divorced,Priv-house-serv,Unmarried,White,Female,0,0,49,United-States
44,Local-gov,81896,HS-grad,13,Divorced,Other-service,Husband,Black,Female,0,0,60,United-States
40,Private,124685,Bachelors,11,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0,0,24,United-States
28,Local-gov,214800,5th-6th,4,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,7688,0,24,United-States
40,Private,61343,Masters,6,Married-civ-spouse,Sales,Husband,White,Female,0,0,40,United-States
25,Private,19896,Masters,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,29,United-States
40,Private,99086,Bachelors,13,Divorced,Prof-specialty,Not-in-family,Black,Male,0,0,38,United-States
41,Private,330144,Assoc-voc,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,35,United-States
6,Private,173449,Bachelors,10,Divorced,Other-service,Husband,White,Male,0,0,55,United-States
40,,94939,1st-4th,6,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,21,United-States
25,Private,343200,Some-college,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,2885,0,43,Dominican-Republic
38,Private,132921,Bachelors,13,Married-spouse-absent,Craft-repair,Not-in-family,White,Male,0,0,45,Canada
25,Private,176683,12th,4,Separated,Other-service,Not-in-family,White,Male,0,0,32,United-States
39,,462838,11th,9,Never-married,Handlers-cleaners,Husband,White,Male,0,0,59,United-States
48,,237928,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Female,0,0,42,
37,Private,37933,Some-college,10,Married-civ-spouse,Transport-moving,Own-child,Asian-Pac-Islander,Male,0,0,54,United-States
18,Self-emp-not-inc,46281,Some-college,9,Never-married,Machine-op-inspct,Husband,White,Male,0,0,33,India
25,Private,192236,Bachelors,10,Married-civ-spouse,Adm-clerical,Other-relative,White,Male,0,0,54,United-States
31,Self-emp-not-inc,75073,HS-grad,9,Divorced,Craft-repair,Not-in-family,Black,Female,0,0,56,United-States
66,Private,227232,HS-grad,9,Married-civ-spouse,Farming-fishing,Not-in-family,White,Female,0,0,17,United-States
35,Private,293091,HS-grad,6,Never-married,Craft-repair,Unmarried,Black,Female,0,0,43,United-States
27,Private,529216,Some-college,12,Married-civ-spouse,Exec-managerial,Other-relative,White,Female,0,0,51,United-States
46,Private,231961,Bachelors,5,Married-civ-spouse,Sales,Not-in-family,White,Male,0,0,34,United-States
26,Private,63685,Some-college,9,Married-civ-spouse,,Wife,White,Male,0,0,41,United-States
36,Private,165881,Bachelors,10,Divorced,Sales,Husband,White,Female,0,0,41,United-States
29,Private,287878,HS-grad,13,Married-civ-spouse,Sales,Not-in-family,Black,Male,0,1977,46,Canada
41,Private,33895,Some-college,10,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,29,Haiti
23,Private,77516,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Male,0,0,58,United-States
26,Private,72630,Assoc-acdm,9,Married-civ-spouse,Prof-specialty,Own-child,White,Male,2176,0,61,United-States
46,Private,37379,Assoc-voc,11,Never-married,Prof-specialty,Husband,White,Male,0,0,32,United-States
35,Private,593246,HS-grad,11,Divorced,Farming-fishing,Husband,Other,Male,0,0,23,United-States
27,Local-gov,57827,Prof-school,9,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,0,0,52,United-States
35,Private,72294,1st-4th,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,32,United-States
30,Private,241350,HS-grad,13,Divorced,Transport-moving,Husband,White,Male,0,0,48,United-States
37,Self-emp-not-inc,26401,Bachelors,10,Married-civ-spouse,Exec-managerial,Wife,White,Male,0,0,44,United-States
22,Private,288598,11th,13,Married-spouse-absent,Craft-repair,Husband,White,Male,0,0,28,United-States
50,,170861,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,51,United-States
39,Private,136975,Bachelors,10,Never-married,Craft-repair,Own-child,White,Male,0,0,32,United-States
32,Private,36228,HS-grad,10,Divorced,Other-service,Own-child,White,Male,0,0,52,United-States
13,Private,219266,Assoc-voc,13,Never-married,Prof-specialty,Own-child,White,Male,0,0,46,United-States
50,,228649,5th-6th,9,Divorced,Adm-clerical,Unmarried,White,Male,0,0,40,United-States
30,Private,162945,7th-8th,10,Married-civ-spouse,Sales,Unmarried,White,Male,7298,0,19,United-States
46,Private,117496,Some-college,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,38,Puerto-Rico
49,Private,55621,HS-grad,9,Married-civ-spouse,Craft-repair,Own-child,White,Male,0,0,43,United-States
45,State-gov,241802,HS-grad,9,Married-civ-spouse,Exec-managerial,Own-child,Black,Female,0,0,54,United-States
26,State-gov,483596,HS-grad,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,43,United-States
53,Private,143953,HS-grad,12,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,51,United-States
39,Local-gov,93125,HS-grad,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,0,0,48,United-States
35,Private,359972,Prof-school,14,Never-married,Sales,Husband,White,Male,0,0,57,
46,Private,188540,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,25,United-States
48,Self-emp-inc,190333,Some-college,15,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,49,United-States
38,Private,176520,Assoc-acdm,9,Never-married,Transport-moving,Husband,White,Male,0,0,23,United-States
31,Private,147411,12th,9,Never-married,Sales,Own-child,White,Female,0,0,48,United-States
26,Private,160400,5th-6th,10,Never-married,Craft-repair,Not-in-family,White,Male,0,0,43,United-States
36,Federal-gov,207120,11th,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,27,Mexico
27,,156464,Bachelors,15,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,61,United-States
54,Private,120599,HS-grad,8,Never-married,Transport-moving,Not-in-family,White,Male,0,0,40,United-States
16,Private,199555,Doctorate,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,46,South
25,Private,131573,11th,10,Never-married,Handlers-cleaners,Husband,White,Male,0,0,70,United-States
53,Private,119098,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,0,26,Germany
24,Private,152246,Some-college,9,Married-civ-spouse,Farming-fishing,Not-in-family,White,Male,0,0,39,United-States
51,Private,326334,HS-grad,7,Married-civ-spouse,Handlers-cleaners,Not-in-family,White,Male,0,0,45,Greece
34,Private,279833,Some-college,13,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Male,0,0,47,United-States
11,Federal-gov,334105,HS-grad,10,Married-civ-spouse,,Husband,White,Female,3411,0,45,Philippines
54,Self-emp-not-inc,200949,Assoc-voc,8,Married-civ-spouse,Sales,Unmarried,White,Female,0,0,49,United-States
37,Private,31264,Some-college,9,Married-civ-spouse,Machine-op-inspct,Wife,Black,Male,0,0,40,United-States
17,Private,168358,Bachelors,4,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,34,United-States
33,Private,94235,HS-grad,11,Divorced,Transport-moving,Husband,White,Male,0,0,44,United-States
20,Private,49737,7th-8th,13,Never-married,Craft-repair,Husband,White,Female,0,0,53,United-States
26,State-gov,294919,HS-grad,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,31,United-States
49,Private,159724,Assoc-acdm,13,Never-married,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Male,0,0,64,United-States
25,Private,227886,HS-grad,12,Married-civ-spouse,Other-service,Husband,White,Female,0,0,43,United-States
43,Private,297248,Some-college,9,Married-civ-spouse,Sales,Not-in-family,Black,Female,0,0,60,United-States
21,Private,112512,Some-college,7,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,54,United-States
53,,177647,HS-grad,10,Never-married,Sales,Husband,Other,Male,0,0,54,United-States
55,Private,57066,Some-college,10,Divorced,,Unmarried,White,Male,0,1628,51,United-States
40,Private,128696,HS-grad,9,Never-married,Exec-managerial,Husband,White,Male,0,0,43,Philippines
33,Private,366089,HS-grad,9,Married-civ-spouse,Sales,Own-child,White,Male,0,0,36,United-States
12,Private,205100,11th,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,45,United-States
39,Private,316337,Some-college,14,Never-married,Other-service,Own-child,White,Female,0,0,27,United-States
44,Private,29599,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Female,0,0,57,United-States
59,Private,142756,Some-college,11,Never-married,Sales,Unmarried,Asian-Pac-Islander,Male,0,0,48,United-States
44,Private,197184,Bachelors,9,Married-civ-spouse,,Not-in-family,White,Male,0,0,51,United-States
44,Private,189346,Some-college,10,Never-married,Sales,Unmarried,White,Female,0,0,50,United-States
39,Federal-gov,165107,Bachelors,6,Married-civ-spouse,Protective-serv,Own-child,White,Male,0,0,30,United-States
25,Private,304710,HS-grad,5,Never-married,Adm-clerical,Not-in-family,White,Female,0,2258,37,United-States
20,,34307,1st-4th,13,Never-married,Craft-repair,Own-child,White,Male,0,0,33,United-States
31,Local-gov,77370,Some-college,15,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,47,United-States
60,Private,241025,HS-grad,9,Never-married,Exec-managerial,Not-in-family,White,Male,27828,0,39,United-States
36,,306122,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,50,United-States
52,Private,131160,10th,13,Widowed,Handlers-cleaners,Not-in-family,White,Female,0,0,31,Portugal
35,Private,77209,10th,9,Never-married,Tech-support,Unmarried,White,Male,0,0,46,United-States
11,Private,87284,12th,12,Never-married,Prof-specialty,Husband,White,Male,0,0,30,United-States
52,Private,159268,Some-college,13,Never-married,Sales,Husband,White,Female,0,0,24,United-States
38,Private,197997,Prof-school,10,Married-civ-spouse,Craft-repair,Own-child,Other,Male,0,0,76,United-States
42,Self-emp-inc,214816,Assoc-voc,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,23,
31,Self-emp-inc,83375,Masters,9,Divorced,Craft-repair,Husband,White,Female,0,1485,42,Mexico
32,Private,67544,Some-college,15,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,2051,39,United-States
25,Private,192251,Bachelors,9,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,34,Philippines
20,Self-emp-not-inc,140117,Bachelors,9,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,45,United-States
32,Private,168654,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Female,0,0,39,United-States
40,Private,116892,Bachelors,14,Married-civ-spouse,Machine-op-inspct,Unmarried,White,Female,0,0,43,United-States
43,Private,313573,HS-grad,14,Divorced,Transport-moving,Husband,White,Female,0,0,27,United-States
26,Private,166295,5th-6th,10,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,7,United-States
30,Private,194908,Some-college,13,Married-civ-spouse,Craft-repair,Husband,Amer-Indian-Eskimo,Male,0,0,16,United-States
57,Local-gov,100368,HS-grad,14,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,23,
33,Private,100009,Prof-school,13,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,50,United-States
47,Private,143699,HS-grad,12,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,62,United-States
48,Private,329759,HS-grad,9,Widowed,Adm-clerical,Husband,White,Male,0,0,45,United-States
23,Private,148315,HS-grad,9,Divorced,Transport-moving,Not-in-family,White,Male,5178,0,33,United-States
46,Self-emp-not-inc,245626,Bachelors,11,Never-married,Sales,Own-child,Black,Male,0,0,38,United-States
54,Federal-gov,106961,Assoc-voc,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,25,United-States
33,Self-emp-not-inc,147411,HS-grad,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,42,United-States
59,Private,230373,Bachelors,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,54,United-States
30,Private,202652,Some-college,8,Married-civ-spouse,Sales,Own-child,White,Female,0,0,29,United-States
55,Private,46706,Masters,10,Never-married,Other-service,Unmarried,White,Male,7688,0,40,United-States
40,Private,179378,Prof-school,9,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,0,0,29,United-States
17,Private,47857,HS-grad,11,Divorced,Other-service,Husband,White,Female,0,0,32,United-States
3,,118614,HS-grad,9,Married-civ-spouse,Other-service,Not-in-family,White,Male,0,0,28,Philippines
28,Private,147098,HS-grad,10,Married-civ-spouse,Craft-repair,Own-child,White,Female,0,0,41,United-States
46,Self-emp-not-inc,231714,9th,11,Married-civ-spouse,Machine-op-inspct,Not-in-family,White,Female,0,0,47,United-States
29,Private,117310,Assoc-voc,13,Married-civ-spouse,Exec-managerial,Own-child,White,Female,0,0,58,United-States
14,Self-emp-not-inc,145409,Bachelors,9,Never-married,Sales,Husband,Black,Female,0,0,63,United-States
36,Private,222011,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,51,United-States
22,Private,256362,Masters,2,Never-married,Farming-fishing,Husband,White,Male,0,0,27,United-States
65,Private,195282,Assoc-acdm,9,Married-civ-spouse,Exec-managerial,Husband,White,Female,0,0,80,United-States
54,Private,27939,10th,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,48,United-States
37,Private,183891,Some-college,10,Never-married,Exec-managerial,Husband,White,Female,0,0,29,Germany
41,Private,282948,Masters,9,Never-married,Tech-support,Husband,Black,Female,0,0,31,United-States
26,Private,88513,Some-college,9,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,49,United-States
45,Federal-gov,313445,HS-grad,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,2339,44,United-States
48,Private,100313,Bachelors,13,Never-married,Protective-serv,Husband,White,Female,0,0,60,United-States
37,Private,230959,Some-college,10,Divorced,Exec-managerial,Husband,White,Female,0,0,45,United-States
6,Private,190483,Some-college,11,Never-married,Other-service,Not-in-family,Black,Male,0,0,10,United-States
41,Private,40641,Some-college,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States
12,Private,386120,Bachelors,6,Never-married,,Own-child,White,Female,0,0,48,United-States
49,Federal-gov,146398,HS-grad,12,Married-civ-spouse,Sales,Own-child,White,Male,0,0,43,United-States
31,Private,339482,HS-grad,9,Widowed,Handlers-cleaners,Unmarried,White,Male,6849,0,41,United-States
25,Private,167033,Some-college,9,Married-civ-spouse,Tech-support,Not-in-family,White,Female,0,0,23,United-States
47,State-gov,86646,Doctorate,14,Divorced,Exec-managerial,Not-in-family,White,Male,7688,0,53,United-States
38,Private,178431,Bachelors,10,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,0,0,38,United-States
38,Private,181435,Bachelors,13,Never-married,Adm-clerical,Husband,White,Female,0,0,28,United-States
40,Private,264052,Some-college,10,Divorced,Protective-serv,Husband,White,Male,0,0,30,United-States
34,Private,187022,7th-8th,10,Divorced,Sales,Unmarried,White,Female,0,0,53,United-States
56,State-gov,125417,7th-8th,11,Never-married,Other-service,Not-in-family,White,Female,0,0,35,United-States
49,Self-emp-not-inc,317443,Some-college,9,Married-civ-spouse,Adm-clerical,Own-child,Black,Male,0,0,27,United-States
68,Self-emp-not-inc,179488,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,51,United-States
54,Private,109421,Bachelors,9,Married-civ-spouse,Adm-clerical,Not-in-family,Black,Female,0,0,65,United-States
32,Federal-gov,155233,Some-college,13,Never-married,Machine-op-inspct,Not-in-family,White,Male,1506,0,37,United-States
44,Private,233533,HS-grad,13,Divorced,Sales,Husband,White,Female,0,0,32,United-States
46,Local-gov,249957,Masters,13,Never-married,Exec-managerial,Husband,White,Male,0,0,57,United-States
41,Self-emp-not-inc,195994,Some-college,9,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,0,0,43,United-States
12,,200235,HS-grad,12,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,0,0,24,United-States
33,Private,121568,Assoc-acdm,12,Married-civ-spouse,Other-service,Husband,White,Male,0,0,45,United-States
47,Private,314525,Masters,6,Never-married,Other-service,Husband,White,Male,0,0,33,United-States
32,Private,19491,Some-college,9,Never-married,Craft-repair,Own-child,White,Male,0,0,42,United-States
45,Private,90393,Some-college,6,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0,0,55,United-States
14,Private,188278,Some-college,10,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,19,United-States
7,Private,19302,Bachelors,9,Never-married,Protective-serv,Husband,White,Male,0,0,26,United-States
49,Private,305446,HS-grad,13,Never-married,Sales,Husband,White,Female,0,0,44,Mexico
45,Local-gov,159028,Some-college,13,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,35,United-States
21,Local-gov,310152,HS-grad,6,Divorced,Tech-support,Not-in-family,Black,Male,0,0,8,United-States
55,Private,171589,Assoc-acdm,9,Married-civ-spouse,Prof-specialty,Own-child,White,Male,0,0,52,United-States
15,Private,116789,Some-college,13,Never-married,Adm-clerical,Husband,White,Female,0,0,36,United-States
47,Private,599057,HS-grad,13,Married-civ-spouse,Craft-repair,Own-child,White,Male,8614,0,54,United-States
39,Local-gov,341368,Some-college,9,Never-married,Craft-repair,Husband,White,Male,0,0,78,United-States
14,Private,292570,Some-college,14,Never-married,Exec-managerial,Own-child,White,Male,15024,0,61,United-States
29,Private,202606,11th,9,Married-civ-spouse,Sales,Not-in-family,White,Female,0,0,40,United-States
15,Private,263200,10th,10,Divorced,Adm-clerical,Unmarried,White,Male,0,0,24,United-States
26,Self-emp-not-inc,296478,7th-8th,10,Never-married,Sales,Unmarried,White,Female,0,0,35,United-States
26,Private,201663,Assoc-voc,10,Married-civ-spouse,Protective-serv,Not-in-family,White,Male,0,0,50,United-States
36,Private,134699,Bachelors,3,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,47,Cambodia
41,Private,229744,Masters,12,Never-married,,Own-child,White,Male,7688,0,49,United-States
42,Private,184370,HS-grad,13,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,0,0,40,United-States
42,Private,355890,12th,10,Divorced,Sales,Unmarried,Black,Male,0,0,47,United-States
26,Private,208259,Some-college,10,Never-married,Craft-repair,Own-child,White,Male,0,0,52,United-States
24,Private,147099,Masters,9,Married-civ-spouse,Machine-op-inspct,Not-in-family,Black,Female,0,0,38,United-States
20,Private,260696,Some-college,10,Never-married,Adm-clerical,Husband,Black,Female,0,0,51,United-States
38,Local-gov,214840,Some-college,9,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,6,United-States
58,Self-emp-not-inc,284871,Assoc-voc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,24,United-States
66,Private,223163,HS-grad,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,30,United-States
11,Self-emp-not-inc,482677,Bachelors,9,Married-civ-spouse,Other-service,Husband,White,Male,0,1902,62,United-States
40,Local-gov,65278,Masters,14,Married-civ-spouse,Adm-clerical,Not-in-family,White,Male,0,0,25,United-States
51,Private,142573,Doctorate,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,47,United-States
16,Private,38238,Some-college,10,Never-married,Craft-repair,Own-child,White,Female,0,0,50,United-States
30,Private,242001,HS-grad,9,Married-civ-spouse,Transport-moving,Not-in-family,White,Female,0,0,21,United-States
35,Private,185177,Masters,16,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,35,Jamaica
32,State-gov,97261,HS-grad,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,53,United-States
36,State-gov,190023,HS-grad,10,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,42,United-States
44,Private,195023,Some-college,13,Never-married,Prof-specialty,Own-child,White,Female,0,0,51,United-States
41,Private,184687,Bachelors,15,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,42,United-States
20,Private,111067,Some-college,13,Married-civ-spouse,Other-service,Wife,White,Male,0,1485,28,United-States
7,Self-emp-inc,172837,HS-grad,13,Married-civ-spouse,Other-service,Not-in-family,White,Female,0,1876,59,United-States
51,Private,296466,Bachelors,13,Widowed,Sales,Not-in-family,White,Male,0,0,45,United-States
36,Self-emp-not-inc,180277,HS-grad,9,Married-civ-spouse,Transport-moving,Not-in-family,White,Male,0,0,28,United-States
37,Federal-gov,263561,Some-college,13,Married-civ-spouse,Exec-managerial,Not-in-family,White,Male,0,0,45,United-States
40,Private,182614,Bachelors,13,Never-married,Other-service,Unmarried,White,Male,7298,0,34,United-States
18,Private,144833,Some-college,10,Never-married,Adm-clerical,Own-child,White,Male,0,0,51,United-States
34,Self-emp-inc,224462,11th,9,Married-civ-spouse,Adm-clerical,Husband,White,Female,0,0,33,United-States
25,Private,162298,Masters,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,39,United-States
33,Self-emp-inc,82049,Doctorate,10,Widowed,Machine-op-inspct,Not-in-family,White,Female,0,0,52,Philippines
